Member_number,Recency,Frequency,Monetary,Class
1000,35,5,19.22565017068761,Regular
1001,242,5,20.79899903400349,High_spender
1002,122,4,16.486988585124504,Regular
1003,323,4,15.39083028541796,Regular
1004,28,8,42.20952472446805,Loyal
1005,706,2,7.314179926585001,Hibernate
1006,199,4,32.01924368091624,High_spender
1008,88,2,26.76651524990048,At_risk
1009,86,4,15.032074853100395,Regular
1010,152,5,21.73283264720484,High_spender
1011,21,3,23.10305302201928,At_risk
1012,41,4,18.88001433689608,Regular
1013,89,8,38.21990080652134,Loyal
1014,88,4,18.962639702643514,Regular
1015,240,3,13.52517237450402,At_risk
1016,86,4,22.512337014806235,High_spender
1017,91,5,17.751108654359914,Regular
1018,221,4,17.38300882435806,Regular
1019,385,1,7.261955162484229,Hibernate
1020,78,3,18.219933291754288,At_risk
1021,53,3,14.871074675538807,At_risk
1022,571,3,15.566334501227624,At_risk
1023,185,6,35.22312808021154,Loyal
1024,142,1,8.901135101695298,Hibernate
1025,133,3,11.943013133810313,At_risk
1026,216,5,31.35291676584307,High_spender
1027,227,4,19.013706799816248,Regular
1028,172,5,20.24781987877527,Regular
1029,291,1,3.5504790843779097,Hibernate
1031,76,3,13.228494044624092,At_risk
1032,129,5,25.97913711686005,High_spender
1033,198,5,22.19720480833009,High_spender
1034,596,3,16.87128347095898,At_risk
1035,113,5,20.59621744017664,High_spender
1036,709,1,3.6926224403927694,Hibernate
1037,14,3,15.95228871303562,At_risk
1038,16,6,39.16359201324318,Loyal
1039,213,1,1.7047480922384253,Hibernate
1040,34,4,16.550654334521568,Regular
1041,272,4,21.226277243493115,High_spender
1042,75,3,9.703615604656845,At_risk
1043,354,3,16.809737262879015,At_risk
1044,66,2,7.634371277602077,Hibernate
1045,35,3,18.08225917131891,At_risk
1046,189,2,6.064566298906041,Hibernate
1047,143,3,11.428910918377088,At_risk
1048,73,2,8.82210177582659,Hibernate
1049,116,4,15.334385060702877,Regular
1050,240,6,27.35522122841972,Loyal
1051,50,6,43.318212972420994,Loyal
1052,64,10,53.44328447710941,Loyal
1053,174,6,20.507036802498497,Regular
1054,70,4,14.701862680166789,Regular
1055,219,2,12.154556698989053,At_risk
1056,51,3,12.027817255464084,At_risk
1057,570,3,11.689158959061784,At_risk
1058,50,4,12.256277665811815,Regular
1059,564,2,6.347445250117239,Hibernate
1061,116,5,26.13663768149077,High_spender
1062,103,5,27.12490650908548,High_spender
1063,341,2,4.260423812914633,Hibernate
1064,158,3,13.196137893494155,At_risk
1065,47,6,33.71635276564372,Loyal
1066,566,3,8.432478893798509,Hibernate
1067,163,3,20.19558699052348,At_risk
1068,182,2,6.886110716364144,Hibernate
1069,132,4,20.2165047502258,Regular
1070,420,2,10.323951874574846,At_risk
1071,460,1,5.412788256433817,Hibernate
1072,68,2,8.427671028676794,Hibernate
1073,27,4,21.197355878616705,High_spender
1074,75,5,18.18239623728004,Regular
1075,41,4,20.79431208764853,High_spender
1076,77,4,21.85761043860871,High_spender
1077,109,6,18.854380659408125,Regular
1078,63,2,12.25144637002434,At_risk
1079,112,2,11.595549563646813,At_risk
1080,230,2,7.072385258644691,Hibernate
1081,241,5,31.649399667050567,High_spender
1082,596,2,9.897066984733204,At_risk
1083,327,3,16.494827098648678,At_risk
1084,621,1,2.9014215940827497,Hibernate
1085,137,3,10.34986138092696,At_risk
1086,2,5,22.86753010260755,High_spender
1087,138,9,38.67734676344009,Loyal
1088,30,3,15.571263601983809,At_risk
1089,390,1,3.4613513044819024,Hibernate
1090,70,3,29.66623709904676,At_risk
1092,82,5,30.804940975949307,High_spender
1093,277,1,2.01823081063494,Hibernate
1094,113,8,36.24677558817267,Loyal
1095,61,3,15.108819594541938,At_risk
1096,155,1,4.290459441148391,Hibernate
1097,59,6,30.11899247393835,Loyal
1098,48,7,44.81109592787218,Loyal
1099,139,3,11.124396196493503,At_risk
1100,293,3,19.781505078818373,At_risk
1101,367,3,12.506547715123158,At_risk
1102,186,4,16.130239002235903,Regular
1103,403,4,20.741585078115747,High_spender
1104,64,4,14.196708486221876,Regular
1105,222,2,8.485126358373138,Hibernate
1107,90,8,33.31172794360847,Loyal
1108,153,4,22.1878159278682,High_spender
1109,268,5,22.30682563755072,High_spender
1110,40,7,35.51553863715047,Loyal
1111,40,4,16.405461956234333,Regular
1112,265,1,7.096873022625347,Hibernate
1113,147,4,20.63283851203364,High_spender
1114,173,6,29.00972993629783,Loyal
1115,342,4,15.3403105640568,Regular
1116,31,8,38.82981296570905,Loyal
1117,220,1,6.675003213388818,Hibernate
1118,5,6,36.37029980350726,Loyal
1119,329,1,4.511738241195539,Hibernate
1120,95,6,32.216014916128984,Loyal
1121,655,1,5.088706829516411,Hibernate
1122,9,3,9.56761473622666,At_risk
1123,48,4,20.12005907328297,Regular
1124,494,2,5.747301628569697,Hibernate
1125,41,5,19.62936801730305,Regular
1126,227,3,18.9156347354062,At_risk
1127,76,4,22.2921165012294,High_spender
1128,178,4,18.310796463683367,Regular
1129,374,5,30.36322288395757,High_spender
1130,103,4,20.791322336142784,High_spender
1132,99,3,10.711256300310962,At_risk
1133,149,5,27.34897993803253,High_spender
1134,391,3,13.300089735530245,At_risk
1135,173,3,15.353881718743768,At_risk
1136,57,9,40.19235551079853,Loyal
1137,95,2,7.968529970936951,Hibernate
1138,119,3,11.643971647216071,At_risk
1139,345,4,16.578611951516894,Regular
1140,187,2,15.838079622520365,At_risk
1141,380,4,16.37195065556279,Regular
1142,200,4,14.115082597753617,Regular
1143,249,5,16.931217801435665,Regular
1144,76,7,29.60101227113028,Loyal
1145,84,3,8.579310094802933,Hibernate
1146,109,7,36.19023656931157,Loyal
1147,409,3,10.989551989151948,At_risk
1148,94,6,31.74608127074549,Loyal
1149,18,2,12.216570549843569,At_risk
1150,26,4,14.873006676006582,Regular
1151,104,2,12.542460718609735,At_risk
1152,164,4,15.6692642940662,Regular
1153,22,6,28.48676280101315,Loyal
1154,227,3,12.82034780409662,At_risk
1155,3,3,17.70523427492438,At_risk
1156,108,1,4.341725337900356,Hibernate
1157,452,2,19.261846699657845,At_risk
1158,74,4,15.91592283771666,Regular
1159,199,3,8.359064610219756,Hibernate
1160,40,6,28.41432360844832,Loyal
